Mark,Model,SpecificationModel,YearsBuilt
Volkswagen,Golf IV,1.9 TDI 105,1997;1998;1999;2000
Volkswagen,Golf IV,1.9 TDI 101,1997;1998;1999;2000
Volkswagen,Golf IV,1.6 16V,1997;1998;1999;2000;2001;2002;2003
Volkswagen,Golf V,1.9 TDI 90,2003;2004;2005;2006
Volkswagen,Golf V,1.9 TDI 105,2003;2004;2005;2006;2007;2008
Volkswagen,Golf V,1.6 16V,2003;2004;2005;2006;2007
Volkswagen,Golf VI,1.9 TDI 90,2008;2009;2010;2011;2012
Volkswagen,Golf VI,1.4 16V,2008;2009;2010;2011
Volkswagen,Golf VI,1.9 TDI 101,2008;2009;2010;2011;2012
Volkswagen,Passat B5,1.9 TDI 101,1996;1997;1998;1999
Volkswagen,Passat B5,2.0 TDI 140,1996;1997;1998;1999;2000;2001;2002;2003
Volkswagen,Passat B5,1.9 TDI 131,1996;1997;1998;1999
Volkswagen,Passat B6,1.9 TDI 131,2005;2006;2007;2008;2009;2010
Volkswagen,Passat B6,2.0 TDI 140,2005;2006;2007;2008;2009;2010
Volkswagen,Passat B6,1.9 TDI 101,2005;2006;2007;2008;2009;2010
Volkswagen,Passat B7,1.9 TDI 101,2010;2011;2012;2013;2014
Volkswagen,Passat B7,2.0 FSI,2010;2011;2012;2013;2014
Volkswagen,Passat B7,2.0 TDI 140,2010;2011;2012;2013;2014
Volkswagen,Polo IV,1.2 TSI 90,2001;2002;2003;2004;2005;2006;2007;2008
Volkswagen,Polo IV,1.2 12V,2001;2002;2003;2004;2005;2006
Volkswagen,Polo IV,1.6 TDI 90,2001;2002;2003;2004;2005;2006;2007;2008
Volkswagen,Polo V,1.4 16V,2009;2010;2011;2012;2013;2014
Volkswagen,Polo V,1.2 12V,2009;2010;2011;2012
Volkswagen,Polo V,1.6 TDI 90,2009;2010;2011;2012;2013;2014;2015;2016
Volkswagen,Touran I,1.4 TSI 140,2003;2004;2005;2006;2007;2008;2009;2010
Volkswagen,Touran I,1.9 TDI 105,2003;2004;2005;2006;2007
Volkswagen,Touran I,2.0 TDI 140,2003;2004;2005;2006;2007;2008;2009
Volkswagen,Sharan I,2.0 TDI 140,1995;1996;1997;1998;1999;2000;2001
Volkswagen,Sharan I,1.9 TDI 130,1995;1996;1997;1998;1999;2000;2001;2002
Volkswagen,Sharan I,1.9 TDI 115,1995;1996;1997;1998;1999;2000;2001
Opel,Astra G,1.9 CDTI 120,1998;1999;2000;2001;2002
Opel,Astra G,1.7 CDTI 100,1998;1999;2000;2001;2002
Opel,Astra G,1.7 DTI,1998;1999;2000;2001
Opel,Astra H,1.9 CDTI 120,2004;2005;2006;2007;2008;2009
Opel,Astra H,1.6 16V,2004;2005;2006;2007;2008;2009;2010
Opel,Astra H,1.7 CDTI 100,2004;2005;2006;2007;2008;2009
Opel,Astra J,1.7 DTI,2010;2011;2012;2013;2014
Opel,Astra J,1.6 16V,2010;2011;2012;2013;2014;2015
Opel,Astra J,1.7 CDTI 100,2010;2011;2012;2013;2014
Opel,Corsa C,1.4 16V,2000;2001;2002;2003
Opel,Corsa C,1.3 CDTI 75,2000;2001;2002;2003;2004;2005;2006
Opel,Corsa C,1.2 16V,2000;2001;2002;2003;2004;2005;2006
Opel,Corsa D,1.3 CDTI 90,2006;2007;2008;2009;2010;2011;2012;2013
Opel,Corsa D,1.3 CDTI 75,2006;2007;2008;2009;2010;2011;2012
Opel,Corsa D,1.4 16V,2006;2007;2008;2009;2010;2011;2012;2013
Opel,Corsa E,1.4 16V,2014;2015;2016;2017;2018;2019
Opel,Corsa E,1.2 16V,2014;2015;2016;2017;2018;2019
Opel,Corsa E,1.3 CDTI 90,2014;2015;2016;2017
Opel,Insignia A,2.0 CDTI 130,2008;2009;2010;2011;2012;2013
Opel,Insignia A,2.0 CDTI 160,2008;2009;2010;2011;2012;2013;2014
Opel,Insignia A,1.8 16V,2008;2009;2010;2011;2012;2013
Opel,Vectra C,1.9 CDTI 120,2002;2003;2004;2005;2006
Opel,Vectra C,1.9 CDTI 150,2002;2003;2004;2005;2006;2007;2008
Opel,Vectra C,2.2 16V,2002;2003;2004;2005
Opel,Zafira A,1.9 CDTI 150,1999;2000;2001;2002;2003;2004
Opel,Zafira A,1.9 CDTI 120,1999;2000;2001;2002;2003
Opel,Zafira A,1.6 16V,1999;2000;2001;2002;2003
Opel,Zafira B,1.9 CDTI 150,2005;2006;2007;2008
Opel,Zafira B,1.6 16V,2005;2006;2007;2008;2009
Opel,Zafira B,1.9 CDTI 120,2005;2006;2007;2008;2009;2010;2011
Fiat,Punto II,1.3 Multijet 90,1999;2000;2001;2002;2003
